title,author,description,clean_desc,genres,desc_length,rating,num_ratings,reviews,isbn
Dutch Me Deadly,Maddy Hunter,"As a travel escort for seniors, Emily Andrew-Miceli has led her feisty Iowa clan all over the world. This time, they're off to see historic windmills, classic Rembrandts, and picturesque canals in Holland - if they can ever unplug from their smartphones, that is. Joining them is the high school class from Bangor, Maine, whose 50th reunion celebration goes south faster than a fallen Brussel sprout soufflÃ© as old rivalries start heating up. Worse, Emily's hopes for a 100% survival rate on this trip are dashed when an important member of the tour suffers a tragic (and highly suspicious) accident. Then the saucy seniors' wild night of drug-laced desserts and risquÃ© shows in Amsterdam's infamous Red Light District gets even more mysterious when one unpopular reunioner goes missingâ€¦",as a travel escort for seniors emily andrewmiceli has led her feisty iowa clan all over the world this time theyre off to see historic windmills classic rembrandts and picturesque canals in holland if they can ever unplug from their smartphones that is joining them is the high school class from bangor maine whose 50th reunion celebration goes south faster than a fallen brussel sprout souffl as old rivalries start heating up worse emilys hopes for a 100 survival rate on this trip are dashed when an important member of the tour suffers a tragic and highly suspicious accident then the saucy seniors wild night of druglaced desserts and risqu shows in amsterdams infamous red light district gets even more mysterious when one unpopular reunioner goes missing,"['Mystery', 'Mystery', 'Cozy Mystery', 'Travel', 'Humor', 'Fiction', 'Adventure']",761,3.77,479,86,738727040
The Ghost Walker,Margaret Coel,"Father John O'Malley comes across the corpse lying in a ditch beside the highway. When he returns with the police, it is gone. The Arapahos of the Wind River Reservation speak of Ghost Walkers,â€”,tormented souls caught between the earth and the spirit world, who are capable of anything.Then, within days, a young man disappears from the Reservation without a trace. A young woman is found brutally murdered. And as Father John and Arapaho lawyer Vicky Holden investigate these crimes, someone,â€”,or something,â€”,begins following them.,Together, Vicky and Father John must draw upon ancient Arapaho traditions to stop a killer, explain the inexplicable, and put a ghost to rest...",father john omalley comes across the corpse lying in a ditch beside the highway when he returns with the police it is gone the arapahos of the wind river reservation speak of ghost walkerstormented souls caught between the earth and the spirit world who are capable of anythingthen within days a young man disappears from the reservation without a trace a young woman is found brutally murdered and as father john and arapaho lawyer vicky holden investigate these crimes someoneor somethingbegins following themtogether vicky and father john must draw upon ancient arapaho traditions to stop a killer explain the inexplicable and put a ghost to rest,"['Mystery', 'Fiction', 'Westerns', 'Native Americans', 'Audiobook', 'Thriller', 'Mystery Thriller', 'Suspense', 'Mystery', 'Crime', 'Thriller', 'Mystery', 'Detective']",649,4.05,2253,164,425159612
The Thirteenth Sigil,J.L. O'Faolain,"Sequel to The Thirteenth PillarA Section Thirteen Story After his last somewhat disastrous assignment, sidhe special detective Tuulois MacColewyn effectively got benched. But when a break-in at a high-tech storage facility leaves no witnessesâ€”alive or, Coleâ€™s specialty, deadâ€”and just one missing canister, heâ€™s recalled to Section Thirteen, the NYPDâ€™s paranormal branch. Itâ€™s nice to get to work again with his current flame, Inspector Joss Vallimun, even if they do have their hands full: some mysterious force is cutting a swath through the city in search of that canister. If Cole and Joss figure that out, thereâ€™s the disappearances of employees connected to a local childrenâ€™s television program to solve. Meanwhile, Internal Affairs is breathing down their necks. But while Section Thirteen is working to find the stolen property and figure out what it is, something even stranger starts happening. Childrenâ€™s imaginary friends are somehow manifesting themselvesâ€”and theyâ€™re coming after Section Thirteen. Even with a newly deputized witch and an ogre to bolster their numbers, the detectives have their work cut out for them.",sequel to the thirteenth pillara section thirteen story after his last somewhat disastrous assignment sidhe special detective tuulois maccolewyn effectively got benched but when a breakin at a hightech storage facility leaves no witnessesalive or coles specialty deadand just one missing canister hes recalled to section thirteen the nypds paranormal branch its nice to get to work again with his current flame inspector joss vallimun even if they do have their hands full some mysterious force is cutting a swath through the city in search of that canister if cole and joss figure that out theres the disappearances of employees connected to a local childrens television program to solve meanwhile internal affairs is breathing down their necks but while section thirteen is working to find the stolen property and figure out what it is something even stranger starts happening childrens imaginary friends are somehow manifesting themselvesand theyre coming after section thirteen even with a newly deputized witch and an ogre to bolster their numbers the detectives have their work cut out for them,"['Romance', 'M M Romance', 'Fantasy', 'Fantasy', 'Paranormal', 'Mystery', 'M M Romance', 'M M Urban Fantasy', 'M M Romance', 'M M Fantasy', 'LGBT', 'Gay']",1100,3.76,74,5,1613726031
Tuesday's Gone,Nicci French,"A London social worker makes a routine home visit only to discover her client serving afternoon tea to a naked, decomposing corpse. With no clues as to the dead manâ€™s identity, Chief Inspector Karlsson again calls upon Frieda for help. She discovers that the body belongs to Robert Poole, con man extraordinaire. But Frieda canâ€™t shake the feeling that the past isnâ€™t done with her yet. Did someone kill Poole to embroil her in the investigation? And if so, is Frieda herself the next victim?",a london social worker makes a routine home visit only to discover her client serving afternoon tea to a naked decomposing corpse with no clues as to the dead mans identity chief inspector karlsson again calls upon frieda for help she discovers that the body belongs to robert poole con man extraordinaire but frieda cant shake the feeling that the past isnt done with her yet did someone kill poole to embroil her in the investigation and if so is frieda herself the next victim,"['Mystery', 'Thriller', 'Mystery', 'Crime', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Audiobook', 'European Literature', 'British Literature', 'Thriller', 'Psychological Thriller', 'Mystery', 'Detective']",479,3.94,11520,879,071815696X
Blood on the Mink,"Robert Silverberg,Ray McKensie","Somewhere in Philadelphia, a master engraver is turning out brilliant forgeries of U.S. currency plates for anÂ organized crime gang - and the government wants to put a stop to it. But how can they get close enough toÂ bring down the criminal enterprise from the inside?Â ,By snatching a west coast crime boss' right-hand man and sending a federal agent undercover in the man'sÂ place. His assignment: pose as a buyer of counterfeit bills and try to get the engraver out. Which works fine -Â until he crosses paths with someone who knows the man he replaced...Â ,A lost masterpiece from science fiction Grandmaster Robert Silverberg, published as a complete novel for the very first time!",somewhere in philadelphia a master engraver is turning out brilliant forgeries of us currency plates for an organized crime gang and the government wants to put a stop to it but how can they get close enough to bring down the criminal enterprise from the inside by snatching a west coast crime boss righthand man and sending a federal agent undercover in the mans place his assignment pose as a buyer of counterfeit bills and try to get the engraver out which works fine until he crosses paths with someone who knows the man he replaced a lost masterpiece from science fiction grandmaster robert silverberg published as a complete novel for the very first time,"['Mystery', 'Mystery', 'Crime', 'Pulp', 'Mystery', 'Noir', 'Fiction', 'Thriller', 'Mystery Thriller', 'Literature', '20th Century']",660,3.71,329,59,
Requiem for a Lost Empire,"AndreÃ¯ Makine,Geoffrey Strachan","A nameless, orphaned Russian army doctor is the narrator of ,Requiem for a Lost Empire,, an epic novel that traces three generations of a Russian family through the turbulent political struggles of the twentieth century. , Spanning eight decades --from the October Revolution of 1917 to the Cold War to the fall of Communism --the book follows the narrator's grand-father, Nikolai, a Red Army deserter who seeks peace and isolation in a remote forest village. Years later, his son Pavel will fight in World War II, become a KGB spy, and, like Nikolai, return to his native Caucasus in a vain attempt to escape the increasing tyrannies of the postwar Soviet era. It is here, amidst the raging warfare, espionage, and crushing poverty, where our narrator is born. Sweeping in its scope and heartbreaking in its truths, Requiem for a Lost Empire is both a harrowing history of the Soviet Union and a loving tribute to the fortitude of its people.",a nameless orphaned russian army doctor is the narrator of requiem for a lost empire an epic novel that traces three generations of a russian family through the turbulent political struggles of the twentieth century spanning eight decades from the october revolution of 1917 to the cold war to the fall of communism the book follows the narrators grandfather nikolai a red army deserter who seeks peace and isolation in a remote forest village years later his son pavel will fight in world war ii become a kgb spy and like nikolai return to his native caucasus in a vain attempt to escape the increasing tyrannies of the postwar soviet era it is here amidst the raging warfare espionage and crushing poverty where our narrator is born sweeping in its scope and heartbreaking in its truths requiem for a lost empire is both a harrowing history of the soviet union and a loving tribute to the fortitude of its people,"['Fiction', 'Cultural', 'Russia', 'Historical', 'Historical Fiction', 'Literature', 'Russian Literature', 'Literature', '20th Century', 'Literary Fiction', 'Spy Thriller', 'Espionage', 'Cultural', 'France', 'Literature', 'Historical']",914,3.86,447,47,074345362X
77 Days in September,Ray Gorham,"On a Friday afternoon before Labor Day, Americans are getting ready for the holiday weekend, completely unaware of a long-planned terrorist plot about to be launched against the country. Kyle Tait is settling in for his flight home to Montana when a single nuclear bomb is detonated 300 miles above the heart of America. The blast, an Electro-Magnetic Pulse (EMP), destroys every electrical device in the country, and results in the crippling of the power grid, the shutting down of modern communications, and bringing to a halt most forms of transportation.,Kyle narrowly escapes when his airplane crashes on take-off, only to find himself stranded 2,000 miles from home in a country that has been forced, from a technological standpoint, back to the 19th Century. Confused, hurt, scared, and alone, Kyle must make his way across a hostile continent to a family heâ€™s not even sure has survived the effects of the attack. As Kyle forges his way home, his frightened family faces their own struggles for survival in a community trying to halt its slow spiral into chaos and anarchy. ,77 Days in September follows Kyle and his wife, Jennifer, as they are stretched past their breaking point, but find in their devotion to each other the strength to persevere.",on a friday afternoon before labor day americans are getting ready for the holiday weekend completely unaware of a longplanned terrorist plot about to be launched against the country kyle tait is settling in for his flight home to montana when a single nuclear bomb is detonated 300 miles above the heart of america the blast an electromagnetic pulse emp destroys every electrical device in the country and results in the crippling of the power grid the shutting down of modern communications and bringing to a halt most forms of transportationkyle narrowly escapes when his airplane crashes on takeoff only to find himself stranded 2000 miles from home in a country that has been forced from a technological standpoint back to the 19th century confused hurt scared and alone kyle must make his way across a hostile continent to a family hes not even sure has survived the effects of the attack as kyle forges his way home his frightened family faces their own struggles for survival in a community trying to halt its slow spiral into chaos and anarchy 77 days in september follows kyle and his wife jennifer as they are stretched past their breaking point but find in their devotion to each other the strength to persevere,"['Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction', 'Apocalyptic', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Adventure', 'Survival', 'Thriller', 'Mystery', 'Contemporary', 'War', 'Terrorism']",1223,3.83,3979,371,
Blackwood,Gwenda Bond,"On Roanoke Island, the legend of the 114 people who mysteriously vanished from the Lost Colony hundreds of years ago is just an outdoor drama for the tourists, a story people tell. But when the island faces the sudden disappearance of 114 people now, an unlikely pair of 17-year-olds may be the only hope of bringing them back.,Miranda, a misfit girl from the islandâ€™s most infamous family, and Phillips, an exiled teen criminal who hears the voices of the dead, must dodge everyone from federal agents to long-dead alchemists as they work to uncover the secrets of the new Lost Colony. The one thing they canâ€™t dodge is each other.,Blackwood, is a dark, witty coming of age story that combines Americaâ€™s oldest mystery with a thoroughly contemporary romance.",on roanoke island the legend of the 114 people who mysteriously vanished from the lost colony hundreds of years ago is just an outdoor drama for the tourists a story people tell but when the island faces the sudden disappearance of 114 people now an unlikely pair of 17yearolds may be the only hope of bringing them backmiranda a misfit girl from the islands most infamous family and phillips an exiled teen criminal who hears the voices of the dead must dodge everyone from federal agents to longdead alchemists as they work to uncover the secrets of the new lost colony the one thing they cant dodge is each otherblackwood is a dark witty coming of age story that combines americas oldest mystery with a thoroughly contemporary romance,"['Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Mystery', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Horror', 'Historical', 'Historical Fiction', 'Paranormal', 'Ghosts']",737,3.43,1131,317,
The Ritual,Adam Nevill,"Four old university friends reunite for a hiking trip in the Scandinavian wilderness of the Arctic Circle. No longer young men, they have little left in common and tensions rise as they struggle to connect. Frustrated and tired they take a shortcut that turns their hike into a nightmare that could cost them their lives.,Lost, hungry and surrounded by forest untouched for millennia, they stumble across an isolated old house. Inside, they find the macabre remains of old rites and pagan sacrifices; ancient artefacts and unidentifiable bones. A place of dark ritual and home to a bestial presence that is still present in the ancient forest, and now theyâ€™re the prey.,As the four friends struggle toward salvation they discover that death doesnâ€™t come easy among these ancient trees...",four old university friends reunite for a hiking trip in the scandinavian wilderness of the arctic circle no longer young men they have little left in common and tensions rise as they struggle to connect frustrated and tired they take a shortcut that turns their hike into a nightmare that could cost them their liveslost hungry and surrounded by forest untouched for millennia they stumble across an isolated old house inside they find the macabre remains of old rites and pagan sacrifices ancient artefacts and unidentifiable bones a place of dark ritual and home to a bestial presence that is still present in the ancient forest and now theyre the preyas the four friends struggle toward salvation they discover that death doesnt come easy among these ancient trees,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Fantasy', 'Paranormal', 'Fantasy', 'Supernatural', 'Adult', 'Mystery', 'Audiobook', 'Adventure', 'Survival']",768,3.62,14617,2047,230754929
Echoes,Kristen Heitzmann,"Even in the midst of her affectionate and chaotic Italian family all living in the Bronx neighborhood where she grew up, Sofie Michelli feels alone. For too long, she has been caught in a net of loss and despair. When an old woman murmurs, ""FinchÃ¨ c'Ã¨ vita c'Ã¨ speranza"" Where there's life, there's hope, Sofie feels the familiar words penetrate and awaken something. She is alive. It is time to let go, to start again. Rese is not sure what to make of Lance Michelli's healing gift, but she feels protective of this humbled version of the swaggering man who turned her life inside out. As they find new footing, the Sonoma villa they once intended as an inn becomes a refuge for the downtrodden--including Lance's sister Sofie. Driven to protect the weak and innocent, Child Protective Service worker Matt Hammond responds to a call and finds an infant abandoned to the care of an odd assortment of misfits. He reserves judgment on the unconventional caregivers--who both concern and fascinate him--but he is especially drawn to Sofie, the mesmerizing woman with a dancer's poise, eyes like dark copper pennies--and scars on her wrists.",even in the midst of her affectionate and chaotic italian family all living in the bronx neighborhood where she grew up sofie michelli feels alone for too long she has been caught in a net of loss and despair when an old woman murmurs finch c vita c speranza where theres life theres hope sofie feels the familiar words penetrate and awaken something she is alive it is time to let go to start again rese is not sure what to make of lance michellis healing gift but she feels protective of this humbled version of the swaggering man who turned her life inside out as they find new footing the sonoma villa they once intended as an inn becomes a refuge for the downtroddenincluding lances sister sofie driven to protect the weak and innocent child protective service worker matt hammond responds to a call and finds an infant abandoned to the care of an odd assortment of misfits he reserves judgment on the unconventional caregiverswho both concern and fascinate himbut he is especially drawn to sofie the mesmerizing woman with a dancers poise eyes like dark copper penniesand scars on her wrists,"['Christian Fiction', 'Romance', 'Fiction', 'Christian', 'Mystery', 'Contemporary', 'Romance', 'Christian Romance', 'Suspense', 'Womens Fiction', 'Chick Lit', 'Romance', 'Contemporary Romance']",1097,4.21,2019,112,764228307
